text,place
240096indb 288 412022 122938 µµ 412022 122938 µµ β β λ γ ρ α φ ί α ελληνική 1 γιαννάτος γ αγγελετόπουλος β 1995 business management εκδόσεις δορυφόρος αθήνα 2 groppelli a nikbakht ε 2002 χρηματοοικονομική εκδόσεις κλειδάριθμος αθήνα 3 ζιωγάνας x 2001 αρχές μικροοικονομικής ανάλυσης εκδόσεις ζήτη θεσσαλονίκη 4 ζιωγάνας x αποστολόπουλος καλδής π 1996 κοστολόγηση αγροτικών προϊόντων β´ έκδοση έκδοση οεδβ αθήνα 5 κιτσοπανίδης γ καμενίδης x 2003 αγροτική οικονομική τρίτη έκδοση εκδόσεις ζήτη θεσσαλονίκη 6 καλδής π θεοδωροπούλου ε αλεξόπουλος γ γιαννουζάκου α 1999 αγροτουρισμός ανάπτυξη βιβλίο β´ τάξη τεχνικών επαγγελματικών εκπαιδευτηρίων τομέα γεωπονίας τροφίμων περιβάλλοντος ειδικότητα περιβάλλοντος αγροτουρισμού έκδοση παιδαγωγικό ινστιτούτο οργανισμός εκδόσεως διδακτικών βιβλίων αθήνα 7 καλδής π 2003 μάρκετινγκ τροφίμων ποιότητας τοπικής παραγωγής εισήγηση «διημερίδα αγροτουρισμός υπεύθυνη πρόταση ανάπτυξης» δίκτυο αγροτουρισμού αποκόρωνα κρήτης βάμος χανιών 2123 μαρτίου 2003 έκδοση τόμος περίληψη πρακτικών 8 καζάζης ν 2000 αποτελεσματικό μάρκετινγκ εκδόσεις σταμούλη αθήνα 9 κοντογεωργάκος δ κοντομίχος ν βασιλείου i νάνος i 2000 εμπορία marketing γεωργικών προϊόντων βιβλίο β´ τάξη τεχνικών επαγγελματικών εκπαιδευτηρίων τομέα γεωπονίας τροφίμων περιβάλλοντος έκδοση παιδαγωγικό ινστιτούτο οργανισμός εκδόσεως διδακτικών βιβλίων αθήνα 289,OUT
240220indb 229 10112021 22700 µµ 10112021 22700 µµ βιβλιογραφια ελληνικη αποστολόπουλος δ κωνσταντίνος θεοδωροπούλου ελένη τσακατούρα γ αλίκη “εναλλακτικές μορφές τουρισμού υπαίθρου” υπεπθ πι 2001 βαρβαρέσος στέλιος “τουρισμός έννοιες μεγέθη δομές” εκδόσεις “προ πομπος” 2000 βαρβαρέσος στέλιος “τουρισμός οικονομικές προσεγγίσεις” εκδόσεις “προ πομπος” 2000 γαλίτης γεώργιος “αεροπορικοί ναύλοι ticketing” εκδόσεις “προπομπος” αθήνα 1999 ευθυμιάτου πουλάκου αντωνία “στοιχεία εργατικής ξενοδοχειακής νο μοθεσίας” εκδόσεις “interbooks” αθήνα 1993 ευθυμιάτου πουλάκου αντωνία “στοιχεία τουριστικής νομοθεσίας” εκδόσεις “ant ν σακκουλα” αθήνα κομοτηνή 1987 ζαχαράτος α γεράσιμος “package tour παραγωγή διάθεση τουρι στικού ταξιδιού” εκδόσεις “προπομπος” 2000 ζωγραφάκη ρομίνα “αεροπορικοί ναύλοι” εκδόσεις “ελλην” 1995 ηγουμενάκης γ νίκος κραβαρίτης ν κώστας λύτρας ν περικλής “εισα γωγή τουρισμό” εκδόσεις “interbooks” 19981999 ηγουμενάκης γ νίκος “τουριστική οικονομία” τόμος α΄ β΄ εκδόσεις “interbooks” αθήνα 1992 θεοφανίδης σταύρος “ετβα αε εγχειρίδιο αξιολόγησης επενδυτικών σχεδίων” εκδόσεις “παπαζηση” 1985 καλφιώτης σταύρος “τουριστικαί επιχειρήσεις ξενοδοχεία τουριστικά γρα φεία” εκδόσεις “θεοδ π τυροβολα” αθήναι 1974 καλφιώτης σταύρος “εισαγωγή θεωρία τουρισμού” εκδοτικός οί κος “θεοδ π τυροβολας “ αθήναι 1976 καπίκη πιβεροπούλου τάνια “υπηρεσία υποδοχής” εκδοτικός οίκος “interbooks” αθήνα 1998 καρκαλάς γεωργ βασίλης “αερομεταφορές οργάνωση πολιτικών αερολι μένων αεροδρομίων” εκδόσεις “αποστολοπουλος” αθήνα 1998 καταραχιάς λάμπρος “μάνατζμεντ υποδοχής οργάνωση λειτουργία τμήματος υποδοχής ξενοδοχειακών επιχειρήσεων” εκδόσεις “ελ λην” αθήνα 1998 κολτσιδόπουλος δημ γεώργιος “τουρισμός θεωρητική προσέγγιση” εκδό “ελλην” 2001 κομίλης παναγιώτης “οικοτουρισμός εναλλακτική προοπτική αειφόρου τουριστικής ανάπτυξης” εκδόσεις “προπομπος” 2001,OUT
240124indb 528 2122021 14849 µµ 2122021 14849 µµ β β λ γ ρ α φ α αθανασόπουλος π 1994 θερμικές διεργασίες βιομηχανία τροφίμων εκδ ατε αθανασόπουλος π παπακωνσταντίνου μελέτη κλάδου κατε ψυγμένων λαχανικών αθήνα 1987 αγροτική τράπεζα ελλάδος ατε lock 1969 practical canning food trade press alonso garsia v and r aparicio lopez 1993 characterization of european virgin oils using fatty acids grasas y aceites 441824 artman n r 1969 the chemical and biological properties of heated and oxidized fats advances in lipid research 7 245 academic press new york london αρτοποιία ζαχαροπλαστική αλεύρου bake master isbn9608533813 boltman 1978 cook freeze catering systems a sa publishers ltd london balatsouras g d 1995 production processing and disposal of greek table olives olivae 57 1720 bernard godon claude willm primary cereal processing a comprehensive sourcebook isbn 1560816090 vch publishers inc,OUT
210127indb 49 εργαστηριακος οδηγος 49 2112022 25724 µµ 2112022 25724 µµ βιβλιογραφια cairnssmith ag 1985 seven clues to the origin of life a scientific detective story canto cambridge cam bridge university press emberlin j 1986 εισαγωγή οικολογία αθήνα τυπωθήτω γιώργος δαρδανός robert b 1993 the uses of life a history of biotechnology cambridge cambridge university press roberts mbv 1986 biology for life london thomas nelson sons ltd stryer l 19881 βιοχημεία μτφρ α αλετράς θ βαλκανά δ δραίνας κούβελας γκ παπαδόπουλος μγ παπαδόπουλος μ φράγκουλαζαρίδη ηράκλειο πανεπιστημιακές εκδόσεις κρήτης thompson mw mcinnes rr willard hf 20032 ιατρική γενετική επιμ ν μοσχονάς μτφρ ν μοσχονάς γεωργίου μ σύρρου ηράκλειο πανεπιστημιακές εκδόσεις κρήτης vancleeve j 1994 βιολογία παιδιά αθήνα πνευματικός webster s 2003 απαρχή μτφρ e μαυρικάκη αθήνα πατάκης αλεπόρουμαρίνου β αργυροκαστρίτης α κομητοπούλου πιαλόγλου π σγουρίτσα β 1999 βιολογία θετικής κατεύθυνσης γ΄ τάξης ενιαίου λυκείου αθήνα οεδβ αποστολάκος 2003 εισαγωγή βοτανική αθήνα σταμούλης γεωργόπουλος α 1996 γη μικρός εύθραυστος πλανήτης αθήνα gutenberg γιαννόπουλος γ 2001 γενετική πάτρα εαπ γκούβρα μ κυρίδης α μαυρικάκη ε 2001 αγωγή υγείας σχολείο αθήνα τυπωθήτω γιώργος δαρδα νός καραγκούνηκύρτσου α 1999 μικροβιολογία αθήνα αθ σταμούλης κατσώρχης θ 1994 εισαγωγή βιολογία ειδικά θέματα σύγχρονης βιολογίας αθήνα βιολογικό τμήμα πα νεπιστημίου αθηνών κομητοπούλου τύπας μ 1992 σημειώσεις ειδικά θέματα γενετικής αθήνα βιολογικό τμήμα πανεπιστη μίου αθηνών τομέας βιοχημείας μοριακής κυτταρικής βιολογίας γενετικής κουσουλάκος σ 2004 εισαγωγή αναπτυξιακή βιολογία ιστολογία αθήνα παρισιάνος λεκανίδου ρ τσιτήλου σ ροδάκης γ 2002 εισαγωγή μοριακή βιολογία αθήνα βιολογικό τμήμα πανε πιστημίου αθηνών τομέας βιοχημείας μοριακής βιολογίας μανώλης σ 1999 βιολογική ανθρωπολογία αθήνα συμμετρία μαυρικάκη ε 2001 εργαστηριακές ασκήσεις δραστηριότητες περιβαλλοντικής ευαισθητοποίησης αθήνα τυπωθήτω γιώργος δαρδανός μαυρικάκη ε μτφρ 2004 βιβλίο εξέλιξης αθήνα πατάκης παταργιάς θ αλεπόρου β χχ γενετική ανθρώπου αθήνα βιολογικό τμήμα πανεπιστημίου αθηνών παταργιάς κομητοπούλου κουγιανού σ 1996 εισαγωγή βιολογία αθήνα βιολογικό τμήμα πα νεπιστημίου αθηνών χριστοδουλάκης ν 1994 σύγχρονη βιολογία εισαγωγή μελέτη οργανισμών αθήνα πατάκης 50 βιολογια b΄ γ΄ γυμνασιου,OUT
6aithikifinalindd 102 28520 1122 am θεματα χριστιανικης ηθικης επιλογή βιβλιογραφίας αγόρας κωνσταντίνος χριστός πολιτισμοί έξι μελετήματα θεολογικής ερμηνευτικής εκδ αρμός αθήνα 2017 αλεξόπουλος ανδρέας «μάρτυρας “ἐν χριστῷ σταυρικῆς ἐλευθερίας” aγία μαρία σκο μπτσόβα 18911945» σύναξη 148 2018 σσ 1221 αναστάσιος αρχιεπίσκοπος τιράνων πάσης αλβανίας 2007 «ευχαριστία διακονία μαρ τυρία αλληλοπεριχώρηση» ιδίου ιεραποστολή ίχνη χριστού αθήνα εκδό αποστολικής διακονίας σσ 185194 αναστάσιος αρχιεπίσκοπος τιράνων πάσης αλβανίας συνύπαρξη ειρήνη φύση φτώχεια τρομοκρατία αξίες θρησκειολογική θεώρηση εκδ αρμός αθήνα 2015 «ανθρώπινη σεξουαλικότητα» αφιέρωμα περιοδικού σύναξη 77 2011 άρεντ χάννα ανθρώπινη κατάσταση vita activa μτφρ στέφανου ροζάνη γεράσιμου λυκιαρ δόπουλου εκδ γνώση αθήνα 1986 wieviorka annette άουσβιτς όπως εξήγησα κόρη μτφρ κορίνα δευτερέου εκδ πόλις αθήνα 2013 γερούκαλης δημήτριος γουνελάς σωτήρης μουστάκης αθανάσιος μπεκριδάκης δημήτρης πλεξίδας ιωάννης μετάνθρωπος ζώντας σ’ ψηφιακό κόσμο εκδ αρμός αθήνα 2018 αγάπη επιμ σταύρος ζουμπουλάκης εκδ άρτος ζωής αθήνα 2017 γιαγκάζογλου σταύρος μεταίχμιο θεολογίας δοκίμια διάλογο θεολογίας πολιτισμού εκδ δόμος αθήνα 2018 γιανναράς χρήστος ελευθερία ήθους εκδ ίκαρος αθήνα 32003 γκανάς π ευάγγελος λύχνος πάνω λυχνία εκκλησία εναλλακτική πόλις εκδ πόλις αθήνα 2017 γουέαρ κάλλιστος αρχή ημέρας ορθόδοξη προσέγγιση δημιουργίας εκδ ακρίτας αθήνα 2007 γουέαρ κάλλιστος ἑνότης ποικιλίᾳ εκδ ακρίτας αθήνα 1997 γουέαρ κάλλιστος ορθόδοξος δρόμος εκδ επτάλοφος αθήνα 1994 γρηγόριος ιερομ ιερά εξομολόγησις εκδ ιερόν κουτλουμουσιανόν κελλίον άγιος ιωάννης θεολόγος άγιος όρος γρηγόριος ιερομ άγιον βάπτισμα εκδ κουτλουμουσιανόν κελλίον άγιος ιωάννης θεολό γος άγιον όρος 1989 «γυναίκα ιερωσύνη γάμος» αφιέρωμα περιοδικού σύναξη 142 2017 gadamer g adorno tw horkheimer m νίτσε μτφρ λευτέρης αναγνώστου εκδ ίνδικτος αθήνα 2003 girard rené εθεώρουν σατανάν αστραπήν… μτφρ ευγενία γραμματικοπούλου εκδ εξάνταςνήματα αθήνα 2002 «δε σιωπήσουμε ποτέ» προκηρύξεις λευκού ρόδου 19421943 μτφρ θοδωρής τσομί δης εκδ πατάκη αθήνα 2019 ευδοκίμωφ παύλος τέχνη εικόνας θεολογία ωραιότητος μτφρ κώστας χαραλαμπί δης εκδ π πουρναρά θεσσαλονίκη 1993 ζηζιούλας ιωάννης μητροπολίτης περγάμου ευχαριστίας εξεμπλάριον ήτοι κείμενα εκκλησιο,OUT
220226indd 145 2992014 50413 µµ λεξιλόγιο βασικών όρωνεφαρμογές πληροφορικήςα΄ γενικού λυκείου 146 βασικη βιβλιογραφια ξενόγλωσση brookshear j g 2011 computer science an overview 11th ed addisonwesley hennessy j l patterson d a 2011 computer architecture a quantitative approach 5th ed morgan kaufmann tanenbaum a s 2007 modern operating systems 3rd ed prentice hall tanenbaum a s todd a 2012 structured computer organization 6th ed pearson ελληνόγλωσση christakis an fowler h j 2010 συνδεδεμένοι μτφ δ ξυγαλατάς ν ρουμπέκας αθήνα κάτοπτρο turban e 2006 ηλεκτρονικό εμπόριο αρχές εξελίξεις στρατηγική σκοπιά μanager μτφ γ σαμα ράς αθήνα m γκιούρδας έτος έκδοσης πρωτοτύπου 2004 αβούρης ν καραγιαννίδης χ κόμης β επιμ 2009 συνεργατική τεχνολογία αθήνα κλειδάριθμος αράπογλου α μαβόγλου χ οικονομάκος φύτρος 2007 πληροφορική α΄ β΄ γ΄ γυμνασίου αθήνα οεδβ βακάλη α γιαννόπουλος ιωαννίδης ν κοίλιας χ μάλαμας μανωλόπουλος πολίτης π 1999 ανάπτυξη εφαρμογών προγραμματιστικό περιβάλλον αθήνα υπουργείο εθνικής παιδείας θρη σκευμάτων παιδαγωγικό ινστιτούτο βασιλάκης β χατζηνικολάκης γ 2014 προγραμματισμός app inventor άδεια creative commons χίος σύλλογος εκπαιδευτικών πληροφορικής βεσκούκης β 2000 τεχνολογία λογισμικού πάτρα ελληνικό ανοικτό πανεπιστήμιο γιακουμάκης ε γκυρτής μπελεσιώτης β ξυνός π στεργιοπούλουκαλαντζή ν 2000 εφαρμογές πληροφορικής υπολογιστών αθήνα υπουργείο εθνικής παιδείας θρησκευμάτων παιδαγωγικό ιν στιτούτο δουληγέρης χ βακάλη α γκρίτζαλης στ πάτσα χ σούλτης γ τσέλιος δ 2000 προγραμματιστικά εργα λεία διαδίκτυο τεε τομέας πληροφορικήςδικτύων ηυ αθήνα υπουργείο εθνικής παιδείας θρησκευμάτων παιδαγωγικό ινστιτούτο καμέας α 2000 τεχνικές προγραμματισμού πάτρα ελληνικό ανοικτό πανεπιστήμιο κεκές επιμ συλλογικό έργο 2011 νέες τεχνολογίες εκπαίδευση αθήνα διάδραση ματακιάς σ τσιγκόπουλος α αμδίτης α 2008 επικοινωνίες δίκτυα αθήνα υπουργείο εθνικής παιδείας θρησκευμάτων παιδαγωγικό ινστιτούτο ματζάκος π μελέτης χ μπουγάς π πεκμεστζή σιφναίος 2007 τεχνολογία υπολογιστών φερειακών τεε ηλεκτρονικός τομέας αθήνα υπουργείο εθνικής παιδείας θρησκευμάτων παιδαγω γικό ινστιτούτο μυλωνάς σ ζάγγουλος ν παπαλυσάνδρου α διονυσίου μ νεοκλέους μ ιωάννου ξενοφώντος ξ θεοδώρου 2013 πληροφορική β΄ γυμνασίου λευκωσία υπουργείο παιδείας πολιτισμού παι δαγωγικό ινστιτούτο κύπρου παλαιγεωργίου γ επιμ συλλογικό έργο 2011 24 web 20 εργαλεία τάξη θεσσαλονίκη πμς τμήμα πληροφορικής απθ άδεια creative commons attributionnon commercial παπαδάκης στ καλογιαννάκης μ ζαράνης ν 2013 δημιουργώντας εφαρμογές έξυπνες φορητές συ σκευές appinventor πρακτικά 7ου πανελλήνιου συνεδρίου καθηγητών πληροφορικής «η πληροφο ρική πρωτοβάθμια δευτεροβάθμια εκπαίδευση προκλήσεις προοπτικές» πανεπιστήμιο κεδονίας θεσσαλονίκη 1214 απριλίου 2013 σιδερίδης α γιαλούρης παπαδόπουλος α σταθόπουλος 2000 βασικές αρχές ψηφιακής τεχνολογίας τεε τομέας πληροφορικήςδικτύων ηυ αθήνα υπουργείο εθνικής παιδείας θρησκευμάτων παιδα γωγικό ινστιτούτο,OUT
24058301indd 247 4112016 43924 µµ elwikipedia 2016 01 17 ανάκτηση 05 26 2016 βοτανοθεραπεία httpselwikipediaorgwikice92 cebfcf84ceb1cebdcebfceb8ceb5cf81ceb1cf80ceb5ce afceb1 elwikipedia 2016 4 23 elwikipedia ανάκτηση 5 30 2016 βότανο httpselwikipediaorgwikice92 cf8ccf84ceb1cebdcebf emotionalworldgr nd ανάκτηση 6 30 2016 δραματοθεραπεία – μουσικοθεραπεία httpwww emotionalworldgrdramatotherapeiamousikotherapeia farmec nd ανάκτηση 6 25 2016 httpwwwfarmecgr201511blogpost643html hakim gm chishti nd 2008 εγχειρίδιο παραδοσιακού θεραπευτή κλασσικός οδηγός ιατρική αβικέννα holistic life press εκδόσεις etra harding j 2009 θεωρία πράξη αρωματοθεραπεία τόμ ελληνικά γράμματα αθήνα lee g 2004 spa style europe therapies cuisines spas london thames hudson shaboytin s 2005 ιατρικές δυνάμεις μουσικής αθήνα pls sheena childs 2014 01 30 utube ανάκτηση 05 30 2016 thai herbal ball massage 1 httpswwwyoutube comwatchvfomnbtbmixm shelley h 1997 αρωματοθεραπεία μτφρ α μεθενίτη αθήνα ίων slideplayer nd ανάκτηση 06 24 2016 httpslideplayergrslide3648708 the cabin 2016 the cabin ανάκτηση 05 30 2016 organic facials httpwwwthecabinventnorcoukpages facials the mainichi 2015 12 2015 photo journal warm tradition ανάκτηση 05 29 2016 mainichijp http mainichijpenglisharticles20151222p2a00m0na018000c therapywave 2014 09 26 therapywaveeu ανάκτηση 14 5 2016 wellness ασκληπιεία ύπνωση http therapywaveeuarticleswellnessasklipiiakeipnosihtmlvzdqu4syoko thesecretrealtrut 2015 12 17 ανάκτηση 06 17 2016 ένδυμα αρχαία ελλάδα httpthesecretrealtruth blogspotcom201512blogpost7625htmlixzz4blh9ic9b tipton c 2014 the history of “exercise is medicine” in ancient civilizations c tipton historical perspective the antiquity of exercise exercise physiology and the exercise prescription for health world rev nutr diet τόμ 38 σσ 109–117 adv physiol educ werlin k 2010 thefashionhistorian ανάκτηση 06 18 2016 ancient civilizations httpwww thefashionhistoriancomsearchlabelancient20civilizations wikihow nd httpwwwwikihowcom ανάκτηση 05 30 2016 how to make fresh neem leaves paste httpwwwwikihowcommakefreshneemleavespaste wikipedia 2016 7 3 enwikipediaorg ανάκτηση 7 6 2016 classical element httpsenwikipediaorgwiki classicalelementgreece wikipedia 2016 6 23 unani medicine ανάκτηση 6 28 2016 unani medicine wikipedia 2014 01 17 wikipedia ανάκτηση 06 22 2016 βαλανεία httpselwikipediaorgwikice92 ceb1cebbceb1cebdceb5ceafceb1 wikipedia 2015 12 17 wikipedia ανάκτηση 06 23 2016 χαμάμ httpselwikipediaorgwikicea7 ceb1cebcceaccebc wikipedia 2016 06 23 wikipedia ανάκτηση 06 23 2016 turkish bath httpsenwikipediaorgwiki turkishbatharchitecturalattributes ανδρουλάκη 2007 θεραπείες μέσω τεχνών α μουσικοθεραπεία παρακαταθήκη 52 αρτέμη ε nd ανάκτηση 6 25 2013 ταξίδι μουσικής θεραπευτική χρήση ελλη νική αρχαιότητα έως 21ο αιώνα httpwww24grammatacomwpcontentuploads201507artemimusica 24grammatacompdf ασημάκη π – βασιλειάδουκιλτσίκη δ μποζίνης δ μπόντια χ 2015 οργάνωση διαχείριση μονάδων αισθητικής ευεξίας αθήνα διόφαντος βασιλειάδουκιλτσίκη δ βαφειάδου γ γιαννακοπούλου ε δαλιάνη β θεοδωροπούλου μ μποζίνης δ 2015 αισθητική σώματος αθήνα διόφαντος δρίτσας θ 2003 μουσικοκινητικά δρώμενα μέσον θεραπευτικής αγωγής αθήνα εθνικό ίδρυμα ερευνών 248,OUT
240102indb 312 1572020 41138 µµ 1572020 41138 µµ στοιχεια αρχιτεκτονικης τοπιου βιβλιογραφία ξένη 1 american society of landscape architects asla landscape architecture defining the profession internet 1999 2 appleton jay the experience of the landscape john wiley sons chichester uk 3 bernatzky a tree ecology and preservation elserier new york 1978 4 brookes john the complete gardener crescent books new york 1994 5 brookes john the new small garden εκδόσεις dorling kindersley london 1989 6 berrall julia the garden εκδόσεις penguin books 1978 7 better homes new garden book εκδόσεις meredith corp 1968 8 center for environmental design research college of environmental design university of california berkeley βλέπε → httpwwwarchfpcedberkeleyeducedr 1999 9 clouston brian landscape design with plants landscape institute uk 1977 10 colvin brenda land and landscape 2nd edition 1970 consulted murray london 1948 11 crabtree dw landscape master plan county borough of blackburn blackburn borough architecture and planning office england 1975 12 crv tandy 1976 aesthetics and landscape design proceedings of the symposium held in the university of hull rusal planning services ltd publication no 7 uk 13 ebeneezer h garden cities of tomorrow faber faber london 1974 14 eckbo garrett landscape for living new york architectural record 1950 15 fairbrother nan the nature of landscape design london architectural press 1974 16 hackett brian landscape student and teacher institute of landscape architects journal 81 february 1968 17 hall p urban regional planning pelican books 1973 18 hayward r and mcglynn sue editors making better places urban design now joint center for urban design oxford uk 1993 19 hubbard hv kimball theodora an introduction to the study of landscape design new york macmillan 1917 βιβλιογραφία 313,OUT
240122indb 378 02042019 1102 βιβλιογραφία ελληνική 1 α γρο business τρόφιμαποτά στοιχεία ετήσιας γεωργικής στατιστικής έρευνας απρίλιος 1998 τεύχος 3 εκδόσεις ναυτεμπορική 2 αγρο business τρόφιμαποτά ελληνική διατροφή μάιος 1999 τεύχος 15 εκδόσεις ναυτεμπορική 3 αγρο business τρόφιμαποτά οικολογική επανάσταση γεωργίας φεβρουάριος 1998 τεύχος 1 εκδόσεις ναυτεμπορική 4 αγρο business τρόφιμαποτά κόσμος χυμών ιούνιος ’98 τεύχος 5 εκδόσεις ναυτεμπορική 5 αθανασόπουλος π ε αρχές ποιοτικού ελέγχου τροφίμων αθήνα 1986 6 αλευρίτου γουλιέλμου ε πρόσθετα τρόφιμα έκδοση ποιζω αθηνα 1993 7 ανάπτυξη δελτίο εμπορικού βιομηχανικού επιμελητηρίου αθηνών εβεα βιομηχανία τροφίμων ποτών νοέμβριος 1998 τεύχος 11 8 ανυφαντάκης εμμ καλατζόπουλος γ γαλακτοκομία τόμος β΄ αθήνα πειραιάς 1993 9 ανυφαντάκης εμμ χημεία ανάλυση γάλακτος εκδόσεις καραμπερόπουλος αθήνα 1981 εκδόσεις α σταμούλης αθήνα πειραιάς 1994 10 ανυφαντάκης εμμ μ μέθοδοι εξετάσεως γάλακτος προϊόντων εκδόσεις καραμπερόπουλος αθήνα 1982 11 βάλμης σ ζάχαρης ε ζέρβας γ οικονόμου δ σούτερ x υφούλης α εργαστήριο γεωπονίας γ΄ τάξη επλ κλάδος γεωπονίας γ΄ τεύχος 12 βεϊνόγλου β ανυφαντάκης εμμ γαλακτοκομία τόμος β΄ εκδόσεις καραμπερόπουλος αθήνα 1981 13 βεϊνόγλου β γαλακτοκομία τόμος α΄ αθήνα 1980 14 βέκιος γ κούκης δ τσακίρης α βιβλίο κρασιού ελληνική ακαδημία οίνου αθήνα 1997 15 βουδούρη κοντομηνά μγ εισαγωγή χημεία τροφίμων οργανισμός εκδόσεως διδακτικών βιβλίων αθήνα 1996,OUT
240259 bookindb 274 8112021 34401 µµ 8112021 34401 µµ β β λ γ ρ α φ α ελληνική βιβλίο δραστηριοτήτων νηπιαγωγείο υπεπθ οεδβ αθήνα γαβαλά λ λαυρεντάκη μπούκα μ 1998 γερμανός δ 1992 γκρέμμινγκερ α 1979 δαράκη π 1978 δαράκη π χατζηκωνσταντίνου φ1981 δημητρακόπουλος δ 1993 ζακοπούλου α 1985 ζακοπούλου α 1995 θάνου α 2001 κακανά δ μ 1994 κατέβας γ1999 εμπειρίες δραστηριότητες φυσικές επιστήμες αθήνα gutenberg παιδαγωγική σχολικός χώρος πανεπιστημιακές σημειώσεις α π θ θεσσαλονίκη παιδί βιβλίο μτφρ α κουναλάκη αθήνα νότος κουκλοθέατρο αθήνα gutenberg παιδικοί σταθμοί νηπιαγωγεία αθήνα διπτυχο πρόγραμμα καθημερινών δραστηριοτήτων βρεφικής ηλικίας ιδρύματα προσχολικής αγωγής θεσνίκη art of text σημειώσεις μαθήματος «παιδαγωγικά» τμήμα βρεφονηπιοκομίας τ ε i αθηνών παιχνίδια χρόνο μικρά μεγαλύτερα παιδιά αθήνα εκκρεμές πειράματα νηπιαγωγείο αθήνα καστανιώτης θεωρία μεθοδολογία δραστηριοτήτων προσχολική αγωγή θεσσαλονίκη αφοί κυριακίδη προσχολική αγωγή θεσμός αθήνα οεδβ,OUT
